zipcode,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15
809358.3740538555,20140912,1040000.0,5,3.25,4770,50094,1.0,0,0,4,11,3070,1700,1973,0,47.6525,-122.16,3530,38917
518179.2889106424,20150105,325000.0,3,2.0,1260,5612,1.0,0,0,4,7,1260,0,1972,0,47.7362,-122.179,1640,4745
365392.7430090045,20140710,360000.0,4,2.5,2380,5000,2.0,0,0,3,8,2380,0,2005,0,47.3608,-122.036,2420,5000
312252.3687995775,20150316,349000.0,3,1.75,1790,50529,1.0,0,0,5,7,1090,700,1965,0,47.3511,-122.073,1940,50529
785766.9388616487,20141105,832500.0,4,4.0,3430,35102,2.0,0,0,4,10,2390,1040,1986,0,47.5822,-121.987,3240,35020
617957.069538097,20141013,380000.0,4,1.75,1760,7300,1.0,0,0,3,7,880,880,1956,0,47.6034,-122.125,1680,7500
622458.057274902,20150420,480000.0,3,1.0,1040,5060,1.0,0,0,3,7,1040,0,1941,0,47.5636,-122.394,890,5060
385798.8038620333,20140609,410000.0,3,1.0,1410,5060,1.0,0,0,4,7,910,500,1956,0,47.7073,-122.34,1130,5693
411553.2490850453,20150323,720000.0,4,2.5,3450,39683,2.0,0,0,3,10,3450,0,2002,0,47.342,-122.025,3350,39750
364855.2745858778,20141202,390000.0,3,2.5,2350,5100,2.0,0,0,3,8,2350,0,2003,0,47.3512,-122.008,2350,5363
365392.7430090045,20141222,360000.0,4,2.5,1900,5889,2.0,0,0,3,7,1900,0,1992,0,47.349,-122.031,1870,6405
417923.5563026169,20141028,355000.0,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,1948,0,47.5474,-122.291,1720,6720
457645.86879663,20140602,315000.0,3,1.0,960,6634,1.0,0,0,3,6,960,0,1952,0,47.7264,-122.31,1570,7203
319564.07735553844,20141103,305000.0,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,47.2909,-122.189,1590,8165
423019.30327316886,20140618,461000.0,3,3.25,2770,6278,2.0,0,0,3,9,1980,790,2006,0,47.5228,-122.199,1900,7349
565189.0435677577,20140904,335000.0,2,1.75,1030,1066,2.0,0,0,3,7,765,265,2006,0,47.5394,-122.387,1030,1106
757565.6878573047,20150311,1099880.0,5,2.75,3520,6353,2.0,0,0,4,10,3520,0,2001,0,47.6506,-122.391,2520,6250
289248.5383911037,20150226,153000.0,3,1.0,1200,10500,1.0,0,0,3,7,1200,0,1962,0,47.322,-122.351,1350,10500
570066.2802816714,20140725,430000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,47.687,-122.386,1570,4500
1210705.151845095,20140908,905000.0,4,2.5,3300,10250,1.0,0,0,3,7,2390,910,1946,1991,47.5873,-122.249,1950,6045
244835.86048915234,20150330,247500.0,3,1.75,1960,15681,1.0,0,0,3,7,1960,0,1967,0,47.3576,-122.277,1750,15616
287162.4981957411,20140912,199000.0,4,1.5,1160,6400,1.0,0,0,4,7,1160,0,1975,0,47.3036,-122.378,1160,6400
362073.8055065062,20140711,314000.0,3,1.75,1810,41800,1.0,0,0,5,7,1210,600,1980,0,47.4109,-121.958,1650,135036
921444.4348947848,20140611,850830.0,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0,47.6415,-122.315,2200,4500
349221.34267604846,20140924,290000.0,3,1.0,1210,33919,1.0,0,0,3,7,1210,0,1954,0,47.4375,-122.184,1640,14910
347845.57241357997,20150402,375000.0,3,2.5,2340,10005,1.0,0,0,4,8,1460,880,1978,0,47.4431,-122.133,2250,8162
556994.1811555732,20140523,460000.0,3,1.0,1670,4005,1.5,0,0,4,7,1170,500,1939,0,47.6878,-122.38,1240,4005
305226.1515477301,20140723,188500.0,2,1.75,1240,2493,1.0,0,0,4,8,1240,0,1985,0,47.3813,-122.322,1270,4966
687323.6593787215,20150305,680000.0,4,2.5,3140,28037,2.0,0,0,4,10,3140,0,1991,0,47.7304,-122.082,2990,35001
657972.6854418354,20140827,470000.0,5,1.75,2030,12342,2.0,0,0,4,7,2030,0,1942,0,47.6417,-122.109,2500,9433
630230.5815663218,20140725,597750.0,4,2.5,2310,9624,2.0,0,0,3,8,2310,0,1984,0,47.5386,-122.053,1940,9636
367708.9322852687,20140916,272500.0,3,1.75,1540,12600,1.0,0,0,4,7,1160,380,1980,0,47.3624,-122.031,1540,11656
278308.9765726288,20141028,480000.0,4,2.5,3230,16171,2.0,0,3,3,9,2520,710,2001,0,47.3183,-122.253,2640,8517
306319.98697434517,20140623,205425.0,2,1.0,880,6780,1.0,0,0,4,6,880,0,1945,0,47.5009,-122.248,1190,6780
241635.48270414182,20150108,171800.0,4,2.0,1570,9600,1.0,0,0,3,6,1570,0,1950,0,47.4965,-122.303,1880,9000
695660.3333347015,20150102,660000.0,3,2.5,2400,6474,1.0,0,2,3,8,1560,840,1964,0,47.7728,-122.386,2340,10856
572984.7232962148,20150406,395000.0,2,1.0,770,6000,1.0,0,0,3,6,770,0,1953,0,47.6999,-122.364,1710,6000
654603.6561079818,20140618,770000.0,3,2.25,2910,10204,2.0,0,0,3,9,2910,0,1990,0,47.6897,-122.098,2700,13992
1255565.8644629337,20150302,1450000.0,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,1914,1992,47.6141,-122.212,3060,11275
312792.7613355806,20140717,445000.0,3,2.25,2100,8201,1.0,0,2,3,8,1620,480,1967,0,47.5091,-122.244,2660,8712
603450.1873367343,20150428,660500.0,4,2.25,2010,9603,1.0,0,0,3,8,1440,570,1986,0,47.5343,-122.054,2060,9793
655041.9606132031,20140612,784000.0,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,1989,0,47.697,-122.072,2480,88500
294877.0280239129,20140805,220000.0,4,1.75,2020,7840,1.0,0,0,3,7,1010,1010,1968,0,47.3309,-122.299,1750,8140
466264.93989348644,20140707,382500.0,2,1.0,1190,4440,1.0,0,0,3,6,1190,0,1981,0,47.7135,-122.287,1060,5715
885031.7005636416,20140708,527700.0,5,2.5,2820,9375,1.0,0,0,4,8,1550,1270,1968,0,47.5707,-122.128,2820,9375
343584.47810641496,20150508,205000.0,3,1.0,1610,8579,1.0,0,0,4,7,1010,600,1962,0,47.4563,-122.171,1610,8579
388553.49155900674,20150415,420000.0,3,1.0,1060,8097,1.0,0,0,4,7,940,120,1923,0,47.7144,-122.351,1560,7940
885031.7005636416,20150227,500000.0,4,2.25,2030,8517,1.0,0,0,4,8,1380,650,1961,0,47.5495,-122.174,2230,8824
688122.8420849473,20141203,921500.0,4,2.5,3670,315374,2.0,0,0,4,9,3670,0,1994,0,47.7421,-122.026,2840,87991
603450.1873367343,20140806,430000.0,2,2.5,2420,60984,2.0,0,0,3,7,2420,0,2007,0,47.5262,-121.943,1940,193842
244835.86048915234,20141030,258000.0,5,2.0,2260,12500,1.0,0,0,4,8,1130,1130,1960,0,47.3887,-122.286,1360,18000
555535.0546690192,20150409,560000.0,3,1.0,1110,5000,1.5,0,0,3,7,1110,0,1947,0,47.655,-122.359,1420,5000
287964.3794417512,20150331,282950.0,3,1.0,1250,8200,1.0,0,0,4,7,1250,0,1954,0,47.3255,-122.304,1680,8633
865681.9372132106,20150401,2250000.0,4,3.25,5180,19850,2.0,0,3,3,12,3540,1640,2006,0,47.562,-122.162,3160,9750
617048.9293987498,20140516,350000.0,1,1.0,700,5100,1.0,0,0,3,7,700,0,1942,0,47.679,-122.3,1010,5100
347845.57241357997,20140728,215000.0,3,1.0,1180,7669,1.0,0,0,4,7,1180,0,1967,0,47.4479,-122.176,1190,7669
415325.84970384446,20141120,650000.0,5,3.5,3960,25245,2.0,0,0,3,9,2500,1460,1996,0,47.525,-122.172,2640,13675
292569.2609091125,20140807,320000.0,4,2.75,2640,7500,1.0,0,0,3,8,1620,1020,1967,0,47.3135,-122.369,1980,7875
310744.36681459023,20141113,247000.0,3,2.0,1270,7198,1.5,0,0,3,7,1270,0,1916,2013,47.2086,-121.996,1160,7198
489297.04920836596,20141003,320000.0,4,1.75,1760,11180,1.0,0,0,4,8,1760,0,1968,0,47.4715,-122.118,1730,11180
521738.3698632771,20150309,438000.0,3,1.75,1780,9660,1.0,0,0,3,7,1780,0,1962,0,47.7171,-122.193,1200,9660
799677.2163328889,20150304,900000.0,3,2.5,3400,16603,2.0,0,0,3,10,3400,0,2000,0,47.6012,-122.023,3400,12601
518179.2889106424,20140620,441000.0,3,2.75,1910,7280,1.0,0,0,3,7,1160,750,1979,0,47.7319,-122.224,1710,8152
614962.0801520201,20140812,420000.0,3,2.0,2020,38332,1.0,0,0,4,7,1010,1010,1975,0,47.4582,-122.023,2110,36590
523182.4037948479,20141208,370000.0,3,1.75,1580,7000,1.0,0,0,3,7,1180,400,1976,0,47.7209,-122.168,1640,7500
299479.1170364885,20150219,269950.0,2,1.75,1340,7250,1.0,0,0,5,5,700,640,1949,0,47.408,-122.327,1830,9750
885231.261003273,20150324,807100.0,4,2.5,2680,4499,2.0,0,0,3,9,2680,0,1999,0,47.565,-122.125,2920,4500
457053.9046105648,20150316,284000.0,3,1.75,1560,21000,1.0,0,0,3,7,1560,0,1954,0,47.4776,-122.337,1070,7920
288380.5648874704,20150102,272000.0,3,1.75,2160,7140,1.0,0,0,4,7,1670,490,1978,0,47.3026,-122.374,1930,7350
381258.5762835626,20140502,313000.0,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,47.7658,-122.339,1480,7940
792005.9438432184,20150116,917500.0,4,2.5,3880,35003,2.0,0,0,3,10,2570,1310,1984,0,47.6477,-122.182,3740,35230
885231.261003273,20140929,673000.0,4,2.25,2590,8190,2.0,0,0,4,8,2590,0,1980,0,47.5619,-122.125,2260,8335
636799.7493972138,20150210,425000.0,3,2.5,1120,1100,2.0,0,0,3,8,820,300,2008,0,47.6106,-122.31,1590,1795
644002.7676625482,20140530,385000.0,3,1.0,1220,4800,1.0,0,0,3,6,1220,0,1901,0,47.6101,-122.307,1200,4800
319548.37267989066,20141117,269950.0,3,1.5,1950,7560,1.0,0,2,4,7,1320,630,1975,0,47.1976,-121.999,1950,8941
695660.3333347015,20150107,330000.0,2,1.0,1350,8220,1.0,0,0,3,7,1060,290,1949,0,47.7224,-122.358,1540,8280
365392.7430090045,20140723,163500.0,2,1.5,1050,3419,2.0,0,0,3,7,1050,0,1996,0,47.3848,-122.039,1050,3417
655041.9606132031,20140905,835000.0,4,2.75,3130,13412,2.0,0,0,3,9,2140,990,1993,0,47.6993,-122.102,2260,9984
814911.2820800088,20141121,1095000.0,5,3.0,4090,12850,1.0,0,2,4,10,2090,2000,1986,0,47.6627,-122.188,2540,10270
292569.2609091125,20150415,269000.0,4,1.75,1490,10000,1.0,0,0,4,8,1100,390,1969,0,47.3099,-122.379,2190,8910
676364.4931522439,20140505,560000.0,3,2.5,1900,8744,2.0,0,0,3,8,1900,0,1987,0,47.62,-122.043,2030,8744
573734.3095087736,20150418,615000.0,4,1.0,1330,2400,1.5,0,0,4,6,1330,0,1901,0,47.65,-122.34,1330,4400
654603.6561079818,20141205,585188.0,3,2.25,2230,10026,1.0,0,0,3,8,1430,800,1975,0,47.6647,-122.153,2230,9340
518179.2889106424,20140818,305000.0,3,1.75,1650,9480,1.0,0,0,3,7,1220,430,1977,0,47.726,-122.191,1540,8400
343997.9340612787,20141105,166950.0,3,1.0,1190,8820,1.0,0,0,3,6,1190,0,1959,0,47.4616,-122.184,1230,7980
1194366.6606168754,20140912,799000.0,3,2.5,2140,9897,1.0,0,0,4,8,2140,0,1959,0,47.5505,-122.219,2680,10083
388553.49155900674,20140625,400000.0,3,2.5,2180,7508,1.0,0,0,4,7,1420,760,1962,0,47.7606,-122.336,1900,7818
288380.5648874704,20140515,256883.0,3,2.5,1690,5025,2.0,0,0,3,8,1690,0,2003,0,47.2779,-122.347,2550,5001
414735.55882595433,20140723,465000.0,3,2.5,2150,4084,2.0,0,0,3,8,2150,0,2007,0,47.5488,-122.372,1750,2385
608952.06642221,20150113,440000.0,3,2.5,1910,66211,2.0,0,0,3,7,1910,0,1997,0,47.5385,-121.911,2330,67268
312970.38290991395,20141112,297000.0,3,2.5,1940,14952,2.0,0,0,3,8,1940,0,1994,0,47.3777,-122.165,2030,10450
571029.5251562481,20140716,470000.0,3,1.0,1010,5000,1.0,0,0,3,7,1010,0,1952,0,47.675,-122.394,1680,5000
287162.4981957411,20140804,226500.0,3,1.5,1300,7370,1.0,0,0,4,7,900,400,1976,0,47.3025,-122.37,1430,7500
496997.9761290952,20150303,274250.0,3,1.0,910,8450,1.0,0,0,4,6,910,0,1962,0,47.4787,-122.158,1400,8040
653814.7240197397,20140919,677900.0,3,2.5,2440,4587,2.0,0,0,3,8,2440,0,2010,0,47.7073,-122.114,2750,4587
619726.9661858212,20150205,425000.0,3,1.0,1010,5864,1.0,0,0,3,7,1010,0,1915,0,47.5733,-122.381,1290,5000
386953.59781931347,20140717,464000.0,6,3.0,2300,3404,2.0,0,0,3,7,1600,700,1920,1994,47.7067,-122.343,1560,1312
838055.5307890677,20140717,625504.0,3,2.25,1270,1566,2.0,0,0,3,8,1060,210,2014,0,47.6647,-122.284,1160,1327
683301.6441199706,20140515,592500.0,4,2.5,2240,12032,1.0,0,0,3,9,2240,0,1983,0,47.6143,-122.017,2520,12368
277831.8514821406,20150114,465000.0,3,2.5,2714,17936,2.0,0,0,3,9,2714,0,2005,0,47.3185,-122.275,2590,18386
422722.86397146,20140527,477000.0,4,2.75,1720,6270,2.0,0,0,3,8,1720,0,1978,0,47.5458,-122.268,2130,8700
242178.31651392026,20150115,280000.0,2,1.0,850,16400,1.0,0,0,3,6,850,0,1923,0,47.4889,-122.299,1100,14459
1229113.3153995418,20150221,1505000.0,5,3.0,3300,33474,1.0,0,3,3,9,1870,1430,1957,1991,47.5673,-122.21,3836,20953
708174.2469559382,20141023,467000.0,2,1.5,1320,10800,1.0,0,0,4,8,1320,0,1947,0,47.7145,-122.367,2120,12040
785766.9388616487,20140822,686000.0,4,2.5,2760,6440,2.0,0,0,3,10,2760,0,1999,0,47.5836,-122.026,3070,8127
291214.70879735576,20140918,325000.0,3,2.25,2220,16020,1.0,0,0,4,8,1780,440,1966,0,47.3758,-122.217,2080,9583
364855.2745858778,20140903,328000.0,3,2.25,2020,8379,2.0,0,0,3,7,2020,0,1994,0,47.3828,-122.023,2020,8031
361776.01999100216,20140604,390000.0,3,2.25,1250,7500,1.0,0,0,5,7,1250,0,1942,0,47.5123,-122.373,1280,7392
656678.3044756689,20150309,479950.0,2,2.0,1510,6516,1.0,0,0,3,8,1510,0,2005,0,47.7076,-122.013,1640,6009
286297.7473660847,20140529,264950.0,4,2.25,1720,9753,1.0,0,0,4,7,1120,600,1978,0,47.2922,-122.371,1510,9753
304822.1311352025,20150115,235000.0,3,1.0,1430,15246,1.0,0,0,4,7,980,450,1961,0,47.4075,-122.214,1960,13068
662738.3124233643,20150303,516500.0,3,2.5,1480,4729,2.0,0,0,3,7,1480,0,2004,0,47.6794,-122.034,2250,4729
489297.04920836596,20140616,500000.0,4,2.75,2280,15347,1.0,0,0,5,7,2280,0,1960,0,47.5218,-122.164,2280,15347
288380.5648874704,20141121,315000.0,6,2.75,2940,7350,1.0,0,0,3,8,1780,1160,1978,0,47.3103,-122.339,2120,8236
570951.9286613846,20141120,213000.0,2,1.0,1000,10200,1.0,0,0,3,6,1000,0,1961,0,47.5687,-121.899,1150,13702
354123.7523346936,20140902,475000.0,3,1.5,2480,5280,1.5,0,0,5,7,1620,860,1947,0,47.5575,-122.303,2090,4800
792005.9438432184,20140610,1025000.0,5,4.0,3760,28040,2.0,0,0,3,10,3760,0,1983,0,47.6489,-122.183,3430,35096
418660.44930935744,20150409,416000.0,3,2.0,2220,94300,1.0,0,0,5,7,1640,580,1976,0,47.3459,-121.95,2070,80100
652267.6489389732,20150320,410000.0,4,1.0,1970,4740,1.5,0,0,3,7,1670,300,1904,2005,47.6136,-122.303,1510,4740
697752.1680499781,20140701,800000.0,3,3.5,3830,221284,2.0,0,0,3,10,3530,300,1993,0,47.7641,-122.023,2920,148539
293289.6194161715,20141208,225000.0,3,1.75,1430,8505,1.0,0,0,4,7,1430,0,1968,0,47.3173,-122.319,1190,8640
625353.5680618046,20150127,455000.0,2,1.0,1430,5000,1.5,0,0,2,7,1430,0,1925,0,47.6727,-122.299,1450,3750
239989.36189918887,20150427,225000.0,3,1.0,1300,8316,1.0,0,0,4,6,1300,0,1954,0,47.3221,-122.216,1260,8316
582265.9122866754,20140826,480000.0,2,1.0,1030,3060,1.0,0,2,4,7,790,240,1918,0,47.6779,-122.353,1390,3060
292569.2609091125,20150212,363000.0,3,2.5,2740,11872,2.0,0,0,3,9,2740,0,1990,0,47.3076,-122.395,2570,10377
676364.4931522439,20140929,2400000.0,4,2.5,3650,8354,1.0,1,4,3,9,1830,1820,2000,0,47.6338,-122.072,3120,18841
582265.9122866754,20150422,481000.0,3,1.75,1560,3000,1.0,0,0,4,6,770,790,1918,0,47.6846,-122.345,1390,3000
251456.7766704771,20140923,260000.0,3,2.0,1810,7209,1.0,0,0,4,7,1240,570,1978,0,47.3656,-122.278,1750,7209
403345.1399193206,20150421,349500.0,3,1.0,1400,3538,1.0,0,0,3,7,800,600,1953,0,47.5405,-122.27,1620,6331
627594.016179868,20140519,592500.0,2,2.0,1420,9191,1.5,0,2,5,7,1420,0,1928,0,47.6979,-122.32,1420,6816
324041.1167481632,20141020,385000.0,4,1.75,2360,7620,1.0,0,0,4,7,1180,1180,1955,0,47.5278,-122.345,1910,7620
434883.3949127673,20141124,255000.0,3,1.0,1230,10170,1.0,0,0,3,7,1230,0,1979,0,47.4437,-121.772,1380,10098
1095645.1058106227,20141202,780000.0,3,1.0,1660,4400,1.5,0,0,3,8,1460,200,1911,0,47.6362,-122.302,1660,4400
308158.29216593615,20141024,237000.0,3,1.75,1270,8470,1.0,0,0,4,7,1270,0,1960,0,47.4207,-122.29,1600,8470
694152.0749194708,20141216,525000.0,3,2.25,2100,40510,2.0,0,0,3,10,1320,780,1979,0,47.6154,-122.047,2380,33450
566399.2522612505,20150428,425000.0,2,1.0,770,5040,1.0,0,0,3,5,770,0,1930,0,47.5964,-122.299,1330,2580
458094.67715651303,20141027,369900.0,1,0.75,760,10079,1.0,1,4,5,5,760,0,1936,0,47.4683,-122.438,1230,14267
326181.6035592653,20140929,285000.0,3,1.0,1120,10701,1.0,0,0,3,7,1120,0,1954,0,47.5544,-122.358,1130,6350
625353.5680618046,20140814,415000.0,2,1.0,1070,4500,1.0,0,0,3,7,1070,0,1937,0,47.6802,-122.29,1320,4465
1349502.5899479212,20150504,2900000.0,4,3.25,5050,20100,1.5,0,2,3,11,4750,300,1982,2008,47.6312,-122.223,3890,20060
697752.1680499781,20141007,1365000.0,4,4.75,5310,57346,2.0,0,0,4,11,5310,0,1989,0,47.7285,-122.042,4180,47443
381258.5762835626,20150501,436000.0,2,1.0,1040,7538,1.0,0,0,4,7,1040,0,1939,0,47.7107,-122.352,1440,7530
294877.0280239129,20141017,210000.0,3,1.0,1700,11390,1.0,0,0,4,7,1700,0,1967,0,47.3271,-122.323,1350,8164
304822.1311352025,20150320,365000.0,3,2.5,2653,4510,2.0,0,0,3,8,2653,0,2006,0,47.4145,-122.166,2653,4927
343997.9340612787,20150127,450000.0,3,2.0,2290,16258,1.0,0,0,5,8,2290,0,1960,0,47.4672,-122.165,1660,10530
446784.93656982755,20141113,770000.0,4,2.75,3820,26300,2.0,0,0,3,9,2850,970,2014,0,47.7618,-122.261,1860,12136
407720.1792337176,20150505,405000.0,3,1.75,2390,6000,1.0,0,0,3,6,1240,1150,1908,0,47.5362,-122.268,2020,6000
299709.69837323576,20140703,304900.0,4,1.75,2600,11325,1.0,0,0,4,7,1610,990,1969,0,47.3954,-122.206,1720,11088
309282.25673591485,20150227,170000.0,2,1.0,860,5265,1.0,0,0,3,6,860,0,1931,0,47.5048,-122.272,1650,8775
660030.4610443852,20150513,2050000.0,5,3.0,3830,8480,2.0,0,1,5,9,2630,1200,1905,1994,47.6166,-122.287,3050,7556
660060.3706162202,20140630,780000.0,4,2.5,3500,7048,2.0,0,0,3,9,3500,0,2005,0,47.6811,-122.025,3920,7864
518179.2889106424,20150209,405000.0,3,1.75,1670,6720,1.0,0,0,3,7,1140,530,1980,0,47.7198,-122.193,1670,7320
885231.261003273,20140702,675000.0,5,2.25,2900,10300,1.0,0,0,3,8,1450,1450,1985,0,47.5461,-122.151,2310,10300
282528.4217283847,20141022,360000.0,4,2.5,2160,9528,2.0,0,0,3,9,2160,0,1992,0,47.3341,-122.255,2280,9937
414735.55882595433,20140709,550000.0,3,2.0,1970,4166,2.0,0,3,5,8,1270,700,1929,0,47.5717,-122.375,2390,4166
792749.2753983696,20140710,879000.0,4,2.5,3360,22111,2.0,0,0,3,10,3360,0,1994,0,47.5951,-122.017,3150,11374
310337.38058627525,20140822,265000.0,3,2.0,1320,8959,1.0,0,0,3,7,1320,0,1993,0,47.3536,-122.144,1740,7316
489297.04920836596,20150304,446500.0,3,2.5,2650,7286,2.0,0,0,3,8,2650,0,1990,0,47.5084,-122.154,2400,7220
